Lambda	Turnaround Time	 Throughput	 CPU Util	   Avg#ProcReadyQ
--------------------------------------------------------------
    10	            0.066	     9.976	   0.395	         0.668
    11	             0.07	    11.037	   0.434	         0.768
    12	            0.072	    11.847	   0.474	         0.833
    13	            0.082	    12.863	   0.516	          1.05
    14	            0.087	    13.998	   0.558	         1.204
    15	            0.098	    15.031	   0.596	         1.449
    16	            0.109	    16.063	   0.642	         1.733
    17	            0.125	    17.208	   0.688	         2.144
    18	            0.142	    17.971	   0.718	         2.541
    19	            0.178	    18.946	   0.772	         3.322
    20	            0.181	    19.884	   0.788	         3.572
    21	            0.237	    20.784	    0.84	         4.884
    22	            0.345	    22.028	   0.878	         7.658
    23	            0.525	    23.033	   0.931	        12.031
    24	            1.212	    24.093	   0.971	        29.028
    25	            4.747	     24.86	   0.995	       118.505
    26	           10.563	    24.631	   0.999	       272.612
    27	           10.955	    25.201	   0.999	        296.29
    28	           25.424	    24.769	     1.0	       728.657
    29	           28.294	    25.009	     1.0	       827.634
    30	           30.393	    24.994	     1.0	       901.777
